# r_bohr,V_hartree
2.084934131736526908e+01,2.007810686922123413e-03
2.088359281437125503e+01,2.010393800683752015e-03
2.091784431137724454e+01,2.012953372591511081e-03
2.095209580838323404e+01,2.015489580248980023e-03
2.098634730538922000e+01,2.018002592460950168e-03
2.102059880239520950e+01,2.020492569771066300e-03
2.105485029940119546e+01,2.022959664980644723e-03
2.108910179640718496e+01,2.025404023648960140e-03
2.112335329341317447e+01,2.027825784575276302e-03
2.115760479041916042e+01,2.030225080262939609e-03
2.119185628742514993e+01,2.032602037365837527e-03
2.122610778443113588e+01,2.034956777117543584e-03
2.126035928143712539e+01,2.037289415743482029e-03
2.129461077844311134e+01,2.039600064856435680e-03
2.132886227544910085e+01,2.041888831835753006e-03
2.136311377245509036e+01,2.044155820190578839e-03
2.139736526946107631e+01,2.046401129907473443e-03
2.143161676646706582e+01,2.048624857782766449e-03
2.146586826347305177e+01,2.050827097739995643e-03
2.150011976047904128e+01,2.053007941132794448e-03
2.153437125748503078e+01,2.055167477033577675e-03
2.156862275449101674e+01,2.057305792508392836e-03
2.160287425149700624e+01,2.059422972878288769e-03
2.163712574850299220e+01,2.061519101967558033e-03
2.167137724550898170e+01,2.063594262339217816e-03
2.170562874251496766e+01,2.065648535518079757e-03
2.173988023952095716e+01,2.067682002201761283e-03
2.177413173652694667e+01,2.069694742459993186e-03
2.180838323353293262e+01,2.071686835922573449e-03
2.184263473053892213e+01,2.073658361956310335e-03
2.187688622754490808e+01,2.075609399831295204e-03
2.191113772455089759e+01,2.077540028876855016e-03
2.194538922155688709e+01,2.079450328627505465e-03
2.197964071856287305e+01,2.081340378959247329e-03
2.201389221556886255e+01,2.083210260216525680e-03
2.204814371257484851e+01,2.085060053330179373e-03
2.208239520958083801e+01,2.086889839926693493e-03
2.211664670658682397e+01,2.088699702429069188e-03
2.215089820359281347e+01,2.090489724149619671e-03
2.218514970059880298e+01,2.092259989374990314e-03
2.221940119760478893e+01,2.094010583443700786e-03
2.225365269461077844e+01,2.095741592816505010e-03
2.228790419161676439e+01,2.097453105139842570e-03
2.232215568862275390e+01,2.099145209302675195e-03
2.235640718562874341e+01,2.100817995486967647e-03
2.239065868263472936e+01,2.102471555212091867e-03
2.242491017964071887e+01,2.104105981373411999e-03
2.245916167664670482e+01,2.105721368275300515e-03
2.249341317365269433e+01,2.107317811658847382e-03
2.252766467065868028e+01,2.108895408724491272e-03
2.256191616766466979e+01,2.110454258149825190e-03
2.259616766467065929e+01,2.111994460102792522e-03
2.263041916167664525e+01,2.113516116250515903e-03
2.266467065868263475e+01,2.115019329763962331e-03
2.269892215568862071e+01,2.116504205318669573e-03
2.273317365269461021e+01,2.117970849091734692e-03
2.276742514970059972e+01,2.119419368755271968e-03
2.280167664670658567e+01,2.120849873466529745e-03
2.283592814371257518e+01,2.122262473854860925e-03
2.287017964071856113e+01,2.123657282005729681e-03
2.290443113772455064e+01,2.125034411441932211e-03
2.293868263473053659e+01,2.126393977102205863e-03
2.297293413173652610e+01,2.127736095317392731e-03
2.300718562874251560e+01,2.129060883784319493e-03
2.304143712574850156e+01,2.130368461537551338e-03
2.307568862275449106e+01,2.131658948919169620e-03
2.310994011976047702e+01,2.132932467546719800e-03
2.314419161676646652e+01,2.134189140279467607e-03
2.317844311377245603e+01,2.135429091183107825e-03
2.321269461077844198e+01,2.136652445493040196e-03
2.324694610778443149e+01,2.137859329576357291e-03
2.328119760479041744e+01,2.139049870892650602e-03
2.331544910179640695e+01,2.140224197953756718e-03
2.334970059880239290e+01,2.141382440282556775e-03
2.338395209580838241e+01,2.142524728370931528e-03
2.341820359281437192e+01,2.143651193636981339e-03
2.345245508982035787e+01,2.144761968381600839e-03
2.348670658682634738e+01,2.145857185744511498e-03
2.352095808383233333e+01,2.146936979659835789e-03
2.355520958083832284e+01,2.148001484811301858e-03
2.358946107784431234e+01,2.149050836587158928e-03
2.362371257485029830e+01,2.150085171034885403e-03
2.365796407185628780e+01,2.151104624815759498e-03
2.369221556886227376e+01,2.152109335159368281e-03
2.372646706586826326e+01,2.153099439818116721e-03
2.376071856287424922e+01,2.154075077021808723e-03
2.379497005988023872e+01,2.155036385432353499e-03
2.382922155688622823e+01,2.155983504098658420e-03
2.386347305389221418e+01,2.156916572411761695e-03
2.389772455089820369e+01,2.157835730060260818e-03
2.393197604790418964e+01,2.158741116986073218e-03
2.396622754491017915e+01,2.159632873340592424e-03
2.400047904191616865e+01,2.160511139441264467e-03
2.403473053892215461e+01,2.161376055728637859e-03
2.406898203592814411e+01,2.162227762723918818e-03
2.410323353293413007e+01,2.163066400987067716e-03
2.413748502994011957e+01,2.163892111075469294e-03
2.417173652694610553e+01,2.164705033503208295e-03
2.420598802395209503e+01,2.165505308700977835e-03
2.424023952095808454e+01,2.166293076976645235e-03
2.427449101796407049e+01,2.167068478476500033e-03
2.430874251497006000e+01,2.167831653147208465e-03
2.434299401197604595e+01,2.168582740698490018e-03
2.437724550898203546e+01,2.169321880566536017e-03
2.441149700598802497e+01,2.170049211878189322e-03
2.444574850299401092e+01,2.170764873415892936e-03
2.448000000000000043e+01,2.171469003583428349e-03
2.451425149700598638e+01,2.172161740372449690e-03
2.454850299401197589e+01,2.172843221329824083e-03
2.458275449101796184e+01,2.173513583525787767e-03
2.461700598802395135e+01,2.174172963522927500e-03
2.465125748502994085e+01,2.174821497345984234e-03
2.468550898203592681e+01,2.175459320452496816e-03
2.471976047904191631e+01,2.176086567704274034e-03
2.475401197604790227e+01,2.176703373339709292e-03
2.478826347305389177e+01,2.177309870946932732e-03
2.482251497005987773e+01,2.177906193437802087e-03
2.485676646706586723e+01,2.178492473022729681e-03
2.489101796407185674e+01,2.179068841186348592e-03
2.492526946107784269e+01,2.179635428664007148e-03
2.495952095808383220e+01,2.180192365419096959e-03
2.499377245508981815e+01,2.180739780621201041e-03
2.502802395209580766e+01,2.181277802625065064e-03
2.506227544910179716e+01,2.181806558950380882e-03
2.509652694610778312e+01,2.182326176262374112e-03
2.513077844311377262e+01,2.182836780353195321e-03
2.516502994011975858e+01,2.183338496124101382e-03
2.519928143712574808e+01,2.183831447568417017e-03
2.523353293413173404e+01,2.184315757755276102e-03
2.526778443113772354e+01,2.184791548814124951e-03
2.530203592814371305e+01,2.185258941919980200e-03
2.533628742514969900e+01,2.185718057279433055e-03
2.537053892215568851e+01,2.186169014117389509e-03
2.540479041916167446e+01,2.186611930664530880e-03
2.543904191616766397e+01,2.187046924145488649e-03
2.547329341317365348e+01,2.187474110767720966e-03
2.550754491017963943e+01,2.187893605711074396e-03
2.554179640718562894e+01,2.188305523118029994e-03
2.557604790419161489e+01,2.188709976084605123e-03
2.561029940119760440e+01,2.189107076651914448e-03
2.564455089820359035e+01,2.189496935798368460e-03
2.567880239520957986e+01,2.189879663432499086e-03
2.571305389221556936e+01,2.190255368386399837e-03
2.574730538922155532e+01,2.190624158409766164e-03
2.578155688622754482e+01,2.190986140164528223e-03
2.581580838323353078e+01,2.191341419220051764e-03
2.585005988023952028e+01,2.191690100048908438e-03
2.588431137724550979e+01,2.192032286023192118e-03
2.591856287425149574e+01,2.192368079411368634e-03
2.595281437125748525e+01,2.192697581375652877e-03
2.598706586826347120e+01,2.193020891969891563e-03
2.602131736526946071e+01,2.193338110137944743e-03
2.605556886227544666e+01,2.193649333712549988e-03
2.608982035928143617e+01,2.193954659414656255e-03
2.612407185628742567e+01,2.194254182853214857e-03
2.615832335329341163e+01,2.194547998525417983e-03
2.619257485029940113e+01,2.194836199817364400e-03
2.622682634730538709e+01,2.195118879005145823e-03
2.626107784431137659e+01,2.195396127256343116e-03
2.629532934131736610e+01,2.195668034631910199e-03
2.632958083832335205e+01,2.195934690088443934e-03
2.636383233532934156e+01,2.196196181480823077e-03
2.639808383233532751e+01,2.196452595565201969e-03
2.643233532934131702e+01,2.196704018002351624e-03
2.646658682634730297e+01,2.196950533361333863e-03
2.650083832335329248e+01,2.197192225123495522e-03
2.653508982035928199e+01,2.197429175686777501e-03
2.656934131736526794e+01,2.197661466370316556e-03
